Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageEpUncertaintyClipped	StdEpUncertaintyClipped	MaxEpUncertaintyClipped	MinEpUncertaintyClipped	Time
72	6098.894	226.4613	6466.386	5771.6606	7595.161	2371.413	8637.993	581.456	1000.0	1000.0	360000	848.1286	100.5568	1002.48645	429.0116	-851.3096	30.424263	1972.0803	12.404349	1987.4441	1956.8922	2087.1138	11.711262	2098.0818	2069.8755	13014.58019900322
73	6067.746	236.3896	6436.2183	5720.954	8996.39	152.7452	9215.083	8761.834	1000.0	1000.0	365000	851.02594	100.508446	1006.208	424.23126	-854.212	30.258081	1951.0559	20.946192	1983.6069	1928.4736	2068.345	15.409034	2097.0295	2053.7734	13199.110369205475
74	6094.009	173.11284	6363.365	5864.6157	9260.959	163.94667	9573.591	8977.292	1000.0	1000.0	370000	854.2302	99.598465	1008.28156	428.83597	-857.5116	31.049307	2021.5491	36.79497	2056.2397	1952.686	2130.2725	33.755405	2161.5935	2066.8813	13383.61379146576
75	5972.503	517.92	6460.503	4966.6694	9057.326	162.47696	9291.092	8673.373	1000.0	1000.0	375000	857.0103	99.639694	1014.31226	426.81247	-860.3688	31.181896	2037.9664	76.39482	2153.7112	1923.4917	2145.88	73.23716	2259.0784	2038.1705	13569.05399465561
76	6201.159	381.16937	6567.4263	5482.7515	8723.89	61.39747	8840.258	8625.321	1000.0	1000.0	380000	860.47595	99.17971	1013.11414	434.80966	-863.7754	31.095669	2041.8943	53.33504	2118.64	1965.8202	2151.3032	49.09638	2222.6008	2085.5269	13754.650429010391
77	6260.415	154.372	6506.8584	6043.8643	8096.2827	2414.1755	9031.914	861.8452	1000.0	1000.0	385000	863.1017	101.663635	1018.5565	412.00363	-866.3006	32.00777	1955.5137	39.879032	1995.7578	1889.4529	2068.3433	34.44461	2100.047	2008.054	13939.29523563385
78	6038.8555	112.28406	6205.878	5863.212	8756.868	185.49913	8949.358	8354.48	1000.0	1000.0	390000	866.0915	102.04231	1022.31506	416.10764	-869.3546	31.967812	1990.9955	53.817406	2067.9736	1901.7662	2106.5496	46.314106	2176.4136	2033.8792	14124.302532434464
79	6041.8604	459.22525	6825.383	5464.1367	8927.382	167.9956	9131.366	8554.913	1000.0	1000.0	395000	868.2874	103.21864	1027.9629	410.87653	-871.7325	33.60095	1954.0247	57.16975	2017.0286	1881.253	2074.8052	48.739872	2131.499	2013.263	14310.510042190552
80	6160.8057	396.2522	6543.693	5397.9854	8619.475	1103.8499	9463.77	5375.4487	1000.0	1000.0	400000	871.06934	102.14605	1028.3644	391.62906	-874.4383	32.748375	1931.7047	72.39801	2055.1772	1855.3873	2058.0044	68.570274	2180.217	1990.8887	14494.941390752792
81	6191.368	149.59752	6437.0557	6008.8647	8891.614	949.09735	9545.832	6225.3994	1000.0	1000.0	405000	873.5587	102.64183	1030.9924	418.97208	-876.9342	33.23853	1937.3717	38.33038	1985.0825	1893.078	2057.2964	34.63398	2100.9854	2014.9861	14680.518553733826
82	6230.952	169.69127	6535.6304	6017.1963	8518.75	1397.1887	9314.432	4356.3984	1000.0	1000.0	410000	876.2895	102.19409	1032.711	419.6811	-879.7844	32.841217	1926.4265	50.770344	1984.5571	1861.1842	2047.8381	43.768562	2098.2688	1987.4144	14866.404302597046
83	5785.708	490.4767	6125.5283	4817.5566	8765.647	525.4217	9208.471	7291.002	1000.0	1000.0	415000	878.5408	102.18247	1033.8339	420.40994	-881.7453	32.684017	1988.3157	89.30145	2156.1685	1895.5319	2107.2278	83.13474	2262.8474	2018.7092	15051.000655412674
84	6065.6396	368.6657	6555.4316	5646.12	9103.304	157.57115	9263.269	8800.078	1000.0	1000.0	420000	880.3459	102.492905	1034.8455	391.797	-883.6763	33.692158	2005.251	37.70333	2072.4377	1955.5712	2117.9048	33.803238	2178.2798	2074.0881	15236.636010885239
