Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpVarUncertainty	StdEpVarUncertainty	MaxEpVarUncertainty	MinEpVarUncertainty	AverageEpVarUncertaintyClipped	StdEpVarUncertaintyClipped	MaxEpVarUncertaintyClipped	MinEpVarUncertaintyClipped	AverageEpStdUncertainty	StdEpStdUncertainty	MaxEpStdUncertainty	MinEpStdUncertainty	AverageEpStdUncertaintyClipped	StdEpStdUncertaintyClipped	MaxEpStdUncertaintyClipped	MinEpStdUncertaintyClipped	Time
61	4193.028	1249.1788	5228.591	2366.213	6526.88	262.31946	6745.6035	5807.1743	1000.0	1000.0	305000	632.461	69.161026	726.6441	274.56104	-634.83246	15.407694	270.18948	35.50223	325.11267	233.59547	310.77875	33.205135	362.01703	277.39722	394.34726	32.075645	444.32257	358.75	425.46152	31.364626	474.25314	391.43652	7670.819012641907
62	4777.102	343.38657	5079.9917	4153.2812	6842.2617	87.01855	6965.058	6694.724	1000.0	1000.0	310000	634.0181	72.58691	732.77954	253.3208	-636.3241	15.87865	261.03552	14.180782	283.2308	241.37733	301.80814	13.1540575	323.03372	283.8101	387.4589	13.506658	405.91495	368.01697	418.35074	13.019208	436.91165	399.73517	7799.3886976242065
63	4895.7505	189.26456	5177.983	4588.119	6987.1416	191.36452	7226.9775	6710.622	1000.0	1000.0	315000	636.08093	74.225235	729.2845	246.58505	-638.4431	15.784224	253.16562	9.260677	270.721	244.14494	294.6232	7.749324	309.27377	286.8402	379.9466	11.454685	401.60016	369.4771	411.0853	9.864548	429.91064	401.95306	7927.659875392914
64	4876.8115	209.89206	5131.5464	4576.258	6586.322	143.25618	6853.4756	6290.086	1000.0	1000.0	320000	637.8698	76.03584	733.01447	239.87239	-640.0603	15.868987	259.28406	7.038512	264.91595	245.68683	300.02075	6.2292633	305.20013	288.2696	386.49527	7.801626	392.09778	371.00043	417.14688	7.158837	422.38605	402.95236	8056.869367599487
65	5059.4756	96.297966	5181.358	4939.69	6754.573	126.24179	7007.063	6511.073	1000.0	1000.0	325000	640.0453	76.459496	733.7235	237.77611	-642.363	16.34843	254.69417	5.614453	261.64767	247.5822	295.9439	4.4886236	301.541	289.98306	381.45416	7.7887344	390.6893	372.6803	412.6419	6.6565714	420.64572	404.77744	8184.6915011405945
66	4812.652	252.01642	5025.691	4323.625	7029.345	46.036655	7103.25	6963.9585	1000.0	1000.0	330000	642.42914	76.226555	741.0306	244.48917	-644.5737	16.1862	268.64557	3.5448744	272.78317	262.82755	308.2814	3.2588944	312.34753	303.0254	396.48923	4.558674	404.68274	390.59784	426.6476	3.7528353	432.7011	420.94507	8313.48306965828
67	5097.8237	147.87332	5211.863	4815.0737	6973.2344	207.74803	7121.4478	6403.2485	1000.0	1000.0	335000	644.7984	76.18946	740.6009	243.63249	-647.315	16.599573	251.37827	6.445411	259.71497	241.6466	293.37665	5.2501516	300.8041	285.9135	376.39444	8.691323	385.069	361.81628	408.18222	7.368655	416.1602	396.22748	8443.57872390747
68	5033.0967	47.65984	5094.101	4968.861	7051.936	116.30085	7296.286	6900.1357	1000.0	1000.0	340000	647.35657	75.49091	743.5105	235.04953	-649.7316	16.779016	260.7831	6.2435236	269.29388	249.96713	301.45547	5.4555974	309.2059	292.1265	388.02377	7.3286314	396.6549	375.63644	418.41846	6.5238075	426.50894	407.40692	8572.739506721497
69	3840.2227	1390.6511	4972.4575	1149.3748	7129.5195	131.17845	7363.315	6922.196	1000.0	1000.0	345000	649.0578	76.2516	747.5894	241.31595	-651.48474	16.680166	287.63257	20.026781	323.51132	265.16727	327.0947	19.750824	362.97644	305.17462	410.05566	14.674107	433.80035	393.0171	440.99496	15.820041	468.20966	423.14062	8701.199809074402
70	4730.406	686.96893	5233.412	3369.0107	6858.538	109.87528	6986.0186	6605.714	1000.0	1000.0	350000	650.8214	76.502815	750.6459	249.05788	-653.2036	16.90316	273.95374	8.908514	286.541	263.1105	313.5286	8.459453	326.8078	303.34628	400.16223	8.608583	412.52524	390.3168	430.5586	8.025865	440.48254	420.55795	8829.745044708252
