Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
70	3727.36	172.79059	4062.0347	3586.1577	1320.6694	36.756042	1377.2096	1266.4558	5379.9653	119.38283	5604.1465	5213.4116	1000.0	1000.0	350000	478.0682	39.915745	531.02673	219.08138	-480.0163	10.213501	7720.1514711380005
71	3843.8008	93.30764	4016.7783	3743.0925	1300.3674	17.815123	1327.7045	1282.1272	5383.774	109.92707	5559.236	5119.1953	1000.0	1000.0	355000	479.02203	39.95043	530.6537	217.97122	-480.93405	10.2360325	7875.0202214717865
72	3805.5024	114.09117	3969.255	3617.68	1344.3085	32.87578	1393.0115	1306.0955	5453.9033	55.85753	5519.96	5315.5005	1000.0	1000.0	360000	480.0136	39.74302	529.79626	214.16475	-481.9456	10.164919	8033.952565431595
73	3812.0015	136.32178	3961.043	3563.8398	1312.0057	37.3737	1369.4435	1256.2936	5604.9883	82.20728	5729.452	5464.907	1000.0	1000.0	365000	480.98682	39.822758	532.29834	213.43094	-482.8824	10.372641	8193.497567653656
74	3733.3726	76.098465	3858.7986	3649.5178	1333.2716	14.431088	1351.6437	1318.623	5466.5703	113.22399	5664.4814	5283.7153	1000.0	1000.0	370000	481.8838	39.87164	533.27606	214.95335	-483.7562	10.331411	8349.247828960419
75	3815.769	154.2181	4030.6345	3610.311	1327.7068	25.433165	1364.7399	1285.6644	5449.9243	84.89964	5574.0327	5281.4653	1000.0	1000.0	375000	482.6246	40.080944	534.25616	210.60992	-484.4889	10.210868	8502.957237243652
76	3701.246	65.8602	3800.7563	3624.093	1328.6531	18.604166	1351.6996	1305.9343	5290.835	74.800095	5408.7925	5134.8853	1000.0	1000.0	380000	483.5656	39.826736	533.65094	213.07805	-485.4046	10.332363	8658.781025648117
77	3786.3503	145.88539	3973.136	3535.428	1338.8588	17.34577	1358.5204	1309.0687	5616.1675	60.509594	5708.9556	5495.3403	1000.0	1000.0	385000	484.35333	39.5216	534.6525	219.09427	-486.22635	10.310655	8811.765706062317
78	3798.3801	121.47432	3931.4136	3608.9194	1321.6407	22.28932	1351.5577	1286.1782	5525.4756	70.00073	5614.8	5405.0894	1000.0	1000.0	390000	485.08896	39.409897	538.69336	212.83104	-487.01184	10.228817	8963.377170801163
79	3760.5137	91.05065	3905.4976	3657.5	1320.6997	19.929516	1335.2413	1281.2631	5445.2573	138.59555	5643.2354	5117.2715	1000.0	1000.0	395000	485.98096	39.18169	540.3	213.2812	-487.94885	10.382122	9115.267485380173
80	3942.312	103.40241	4033.4194	3757.7778	1329.0662	17.224302	1348.0852	1303.1509	5475.321	84.338905	5617.861	5316.7925	1000.0	1000.0	400000	486.89017	39.0909	540.74756	212.90663	-488.784	10.169107	9269.58151626587
81	3887.188	103.96336	4018.5547	3700.135	1316.3931	23.826668	1352.2545	1279.307	5543.4336	31.525034	5587.1323	5483.0757	1000.0	1000.0	405000	487.71597	39.252174	541.14136	217.11833	-489.81644	10.6033325	9422.667967557907
82	3870.9683	87.56997	4011.498	3756.4333	1324.9178	22.876987	1346.939	1283.4587	5111.141	54.51929	5249.7964	5041.882	1000.0	1000.0	410000	488.67212	39.08347	541.40283	214.12994	-490.54514	10.21897	9574.902220249176
83	3980.5	34.83711	4016.7065	3936.7173	1334.7334	24.875984	1367.5322	1293.8641	5369.4326	73.704025	5525.653	5259.0635	1000.0	1000.0	415000	489.6922	39.184772	542.6994	208.52057	-491.6491	10.223877	9729.039380311966
84	3859.1973	155.19084	4077.6492	3663.4941	1350.9877	37.214424	1395.6322	1306.3152	5520.9175	75.78435	5603.1963	5413.312	1000.0	1000.0	420000	490.49802	39.4765	544.0975	206.65556	-492.4501	10.337413	9881.234870672226
